cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,nimy,roa,ntlnlsr,rbc1aaj,rbcrwaj
58249,0,0,3415454,0,The Bank & Trust of Bryan/College Station,Bryan,TX,77802,12/31/2016,NM,4.03422307949463,1.41361594238674,-4.20675079038918E-02,10.1866457897586,15.2704488139808
58255,0,4422851,3437157,0,River Bank & Trust,Prattville,AL,36066,12/31/2016,NM,4.14297973149437,1.08057221808816,0.139344708019858,9.9604846430993,13.6783309955577
58257,0,3958821,3428258,0,Darien Rowayton Bank,Darien,CT,6820,12/31/2016,NM,2.41515299908693,0.486670937927667,2.83293938526668E-02,8.53928759735969,14.0015011046862
58259,0,3404458,3404467,0,First National Bank of Michigan,Kalamazoo,MI,49007,12/31/2016,N,3.62541933840078,1.04381806587827,0.026807495375707,9.61392053597019,12.2261957408084
58261,0,4722373,3459346,0,Premier Business Bank,Los Angeles,CA,90017,12/31/2016,NM,4.19141585195955,1.34919342747102,-1.12299300094612E-03,9.45075099343849,12.3742614115967
58262,0,0,3595066,0,Preferred Community Bank,Fort Myers,FL,33966,12/31/2016,NM,3.96977874682775,1.13593231206907,-3.88747068199194E-03,11.2196571513474,19.2784919617025
58263,0,0,3561771,0,Global Bank,New York,NY,10002,12/31/2016,NM,3.68957091870532,-0.172728791923595,-4.44872312748795E-02,11.9152214194999,16.2563273527151
58264,0,3437492,3437483,0,Signature Bank,Chicago,IL,60631,12/31/2016,NM,3.70432337443876,1.19323496985132,0,8.01545206487415,11.1040402345731
58267,0,3832583,3716852,0,Marlin Business Bank,Salt Lake City,UT,84121,12/31/2016,SM,10.1171981045852,1.82709385990131,1.35071749542195,15.3073605850427,17.196846858388
58271,0,0,3596894,0,"RepublicBankAz, N.A.",Phoenix,AZ,85014,12/31/2016,N,4.51548047019383,0.761113838310598,0.188397909266279,15.1946850371758,23.7704647478215
58274,0,0,3386143,0,Liberty First Bank,Monroe,GA,30655,12/31/2016,NM,3.85201231494354,1.24505898846549,2.57265168354326E-03,12.0786780183912,17.7918466362937
58275,0,4152505,3453737,0,AltaPacific Bank,Santa Rosa,CA,95403,12/31/2016,SM,5.82650907815644,1.2920077531666,-4.27352618902319E-04,15.2727539548168,20.3445323983916
58276,0,0,3451050,0,River Valley Community Bank,Yuba City,CA,95993,12/31/2016,NM,2.96122694553049,0.741425167306966,0.407332687661491,8.47991906658582,14.2757965507162
58278,0,0,3440803,0,Golden Valley Bank,Chico,CA,95926,12/31/2016,NM,3.87440259625722,0.806049288695927,1.68971437068278E-03,10.739231519212,16.2629128982205
58279,0,4721620,3433047,0,The Commerce Bank,Evansville,IN,47708,12/31/2016,NM,3.14806324463038,0.418637565644903,1.05903708112436E-03,13.1661421235713,19.7045348293595
